S. No. (Col.1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year (Col. 3),Cases Reported during the Year Col. (4),Cases Reopened for Investigation Col. (5),Total Cases for Investigation (Col.3+ Col.4+Col.5) - Col. (6),Cases Not Investigated Under 157_1_b CRPC - Col. (7),Cases Transferred to Other State or Agency - Col. (8),Cases Withdrawn by the Govt during Investigation - Col. (9),Final Report - Cases Ended as FR Non Cognizable - Col. (10),Final Report - Cases Ended as Final Report False - Col. (11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13),Final Report - Cases Abated during Investigation - Col. (14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col. (15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col. (16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18),Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19),Cases Quashed at Investigation Stage - Col. (20),Cases Stayed at Investigation Stage - Col. (21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22),Chargesheeting Rate (Col.18/19*100) - Col. (23),Pendency Percentage (Col.22/6*100) - Col. (24)
4.5,Other Sections 67 IT Act,-0.334333589,-0.312139853,-0.406170678,-0.32779801,0,-0.350298876,-0.334777854,-0.401128588,-0.011070742,-0.295625088,-0.363032709,-0.306991674,-0.353869633,-0.348810075,-0.264693412,-0.315497036,-0.341822229,-0.41964541,-0.075734302,-0.312614921,-0.030512703,0.251600496
5,Interception or Monitoring or decryption of Information,-0.424775062,-0.443700421,-0.406170678,-0.435616144,0,-0.447457244,-0.334777854,-0.084107607,-0.44375224,-0.427818631,-0.420208202,-0.338071409,-0.426405536,-0.394955039,-0.436094505,-0.418589529,-0.425126033,-0.41964541,-0.413096192,-0.439281531,-0.414310007,0.621868834
6,Un-authorized access/attempt to access to protected computer system,-0.425214098,-0.443593375,-0.406170678,-0.435834842,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.420208202,-0.338071409,-0.426552668,-0.394955039,-0.436722348,-0.418871974,-0.425319538,-0.41964541,-0.413096192,-0.439518439,-1.818755084,1.377518501
7,Abetment to Commit Offences,-0.425287271,-0.443165187,-0.406170678,-0.435703623,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.420208202,-0.338071409,-0.426552668,-0.394955039,-0.434210976,-0.417742194,-0.424932528,-0.41964541,-0.413096192,-0.439597408,1.555287144,-1.833992586
8,Attempt to Commit Offences,-0.424409198,-0.443379281,-0.406170678,-0.435266227,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.420208202,-0.338071409,-0.426552668,-0.394955039,-0.434838819,-0.418024639,-0.42502928,-0.41964541,-0.413096192,-0.438728746,1.344409505,1.211275574
9,Other Sections of IT Act,-0.308064586,-0.355386777,-0.274946305,-0.329635074,0,-0.447457244,-0.334777854,-0.401128588,-0.004612809,-0.259097925,-0.340162512,-0.306991674,-0.330034306,-0.293135172,-0.32182711,-0.309848133,-0.324503552,-0.41964541,-0.413096192,-0.330067116,-0.258260554,-0.352919238
Total Offences under I.T. Act,Total Offences under I.T. Act,2.971755901,2.492059219,0.949814507,2.795603642,0,2.596838272,3.766250862,3.403123181,2.998325947,1.603787401,3.047567126,3.422576593,2.966597432,3.509811809,3.1627006,3.399222044,3.122977449,1.865090709,2.960522712,2.496951568,-0.262478107,-0.866761012
10,Abetment of Suicide (Online),-0.424848235,-0.442844047,-0.36242922,-0.435266227,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.42037156,-0.338071409,-0.4266998,-0.393450312,-0.432327448,-0.416047523,-0.424448766,-0.41964541,-0.413096192,-0.439202562,2.398797701,-1.312594315
11,Cyber Stalking/Bullying of Women/Children,-0.347724196,-0.318027429,-0.012497559,-0.337814381,0,0.103106839,-0.334777854,-0.401128588,-0.295219786,-0.394770245,-0.406159366,-0.306991674,-0.407572685,-0.25601857,-0.169889145,-0.220595454,-0.343273515,-0.191171798,-0.075734302,-0.329593301,1.669161069,0.032462093
12,Data theft,-0.407579474,-0.425716552,-0.406170678,-0.417989082,0,-0.447457244,-0.334777854,-0.401128588,-0.437294307,-0.417382299,-0.395704419,-0.338071409,-0.403452999,-0.390942434,-0.421026277,-0.409551283,-0.406936584,-0.41964541,-0.413096192,-0.422303151,-1.089118452,-0.602283628
