S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the Year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Cases Withdrawn by the Govt during Investigation (Col.7),Cases transferred to other Police Station or Magistrate (Col.8),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10+ Col.11 +Col.12+ Col.13),Cases in which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col.8+ Col.9+ Col.14+ Col.15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 - (Col.7+ Col.16)),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ (Col.6)) * 100
4,B) Offences Under IPC,Forgery,-0.480201751,-0.49639406,-0.488702655,-0.333333333,-0.249180705,0,-0.486529694,-0.50341328,-0.49816821,-0.439748571,-0.489041502,-0.501155708,-0.49384002,-0.482880079,-0.384794428,1.588187307
5,B) Offences Under IPC,Counterfeiting,-0.513726834,-0.5213591,-0.517912605,-0.333333333,-0.492944438,0,-0.502330136,-0.50341328,-0.49816821,-0.454358158,-0.502586274,-0.5057482,-0.505172517,-0.523453331,2.147803893,-1.955156909
6,B) Offences Under IPC,Fabrication/Destruction of Electronic Records for Evidence,-0.515529258,-0.522765581,-0.51951559,-0.333333333,-0.492944438,0,-0.501400698,-0.50341328,-0.49816821,-0.454358158,-0.501833787,-0.514933185,-0.508345617,-0.524037119,1.256043921,-0.867432638
7,B) Offences Under IPC,Others,-0.167300978,-0.190836043,-0.179326535,3,-0.330435283,0,-0.379644349,-0.076125911,-0.241738461,-0.439748571,-0.356603736,-0.016647784,-0.22321998,-0.150412927,0.770034736,0.525184042
Total (B),B) Offences Under IPC,Total (B),0.782576369,0.712124819,0.747376951,3,0.319601339,0,0.477297278,0.203820986,0.174959881,-0.381310223,0.393626112,0.466712017,0.423185676,0.952070334,-0.451676426,0.871278128
1,C) Offences under SLL,"Copyright Act, 1957",-0.487771931,-0.461232033,-0.474632008,-0.333333333,-0.411689861,0,-0.497682947,-0.459211138,-0.361939906,-0.439748571,-0.483021604,-0.363380943,-0.437177533,-0.496307199,1.434395915,-1.839792214
2,C) Offences under SLL,"Trade Marks Act, 1999",-0.516971197,-0.524172062,-0.520940466,-0.333333333,-0.492944438,0,-0.502330136,-0.488679232,-0.49816821,-0.454358158,-0.501833787,-0.519525677,-0.510158816,-0.525204695,-2.310995968,-0.867432638
3,C) Offences under SLL,Other SLL Offences,-0.51192441,-0.523820442,-0.518268824,-0.333333333,-0.492944438,0,-0.502330136,-0.50341328,-0.49015478,-0.454358158,-0.501833787,-0.511488815,-0.506985717,-0.522869543,1.59045391,-0.628462912
Total (C),C) Offences under SLL,Total (C),-0.482725145,-0.459473932,-0.471247929,-0.333333333,-0.492944438,0,-0.497682947,-0.444477091,-0.353926476,-0.439748571,-0.481516629,-0.355344082,-0.433097833,-0.49338826,1.416560716,-1.765629196
Grand Total (Total A+B+C),Grand Total (Total A+B+C),Grand Total (Total A+B+C),3.761982926,3.806031604,3.786636662,3,3.407275294,0,3.609502577,3.56318375,3.612721202,3.051942739,3.600727024,3.742307057,3.665639853,3.845030779,-0.514099624,0.113167273
