S. No. (Col.1),Crime Head,Cases Pending Investi-gation from Previous Year,Cases Reported during the year,Cases Reopened for Investi-gation,Total Cases for Investi-gation (Col.3+ Col.4+ Col.5),Cases Not Investi-gated Under 157_1_b CRPC,Cases Transferred to other State or Agency,Cases With-drawn by the Govt during investi-gation,Final Report -  Cases Ended as FR Non Cognizable,Final Report -  Cases Ended as Final Report False,Final Report -  Cases Ended as Mistake of Fact or of Law or Civil Dispute,Final Report -  Cases True but Insufficient Evidence or Untraced or No Clue,Final Report -  Cases Abated during Investigation,Final Report -  Total (Col.10+ Col.11+ Col.12+ Col.13+ Col.14),Chargesheets submitted -  Cases Chargesheeted Out of Cases from Previous Year,Chargesheets submitted -  Cases Charge- sheeted Out of Cases during the Year,Chargesheets submitted -  Cases Chargesheeted (Col.16+ Col.17),Total Cases Disposed Off by Police (Col.7+ Col.8+ Col.15+ Col.18),Cases Quashed at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Investigation at End of the Year (Col.6- Col.9- Col.19- Col.20),Charge-Sheeting Rate (Col.18/ Col.19) *100,Pen- dency Percent age (Col.22/ Col.6) *100
5,Interception or Monitoring or decryption of Information,-0.428925701,-0.421859842,-0.400195067,-0.425343556,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.433835805,-0.355417098,-0.433215548,-0.439801259,-0.438764731,-0.441427867,-0.437680085,-0.434061628,-0.357949896,-0.416273234,0.999420199,-1.759271296
6,Un-authorized access/attempt to  access to protected computer system,-0.429782489,-0.422702574,-0.400195067,-0.426192966,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434776902,-0.355417098,-0.433984064,-0.44131377,-0.443836318,-0.445089412,-0.439561404,-0.434061628,-0.357949896,-0.416675161,1.802298956,-3.214840309
7,Abetment to Commit Offences,-0.429611131,-0.422943354,-0.400195067,-0.426263751,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434776902,-0.355417098,-0.433984064,-0.44131377,-0.445864953,-0.446309926,-0.440031733,-0.434061628,-0.357949896,-0.416574679,-0.249056267,1.874561834
8,Attempt to Commit Offences,-0.428925701,-0.42125789,-0.400195067,-0.424989635,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434306353,-0.355417098,-0.433599806,-0.44131377,-0.435721779,-0.440207352,-0.43744492,-0.434061628,-0.357949896,-0.415871307,1.436989122,-1.072202007
9,Other Sections of IT Act,-0.216613564,-0.09548178,-0.400195067,-0.145746062,0,-0.306581563,-0.255376959,-0.368988731,2.065190162,-0.017498182,0.247517938,0.479188547,0.429059289,-0.082848581,-0.188228331,-0.146673513,0.203849486,-0.088223908,-0.357949896,-0.293886492,-1.49351834,-1.647304449
Total,Total Offences under I.T. Act,2.960186039,3.2765297,0.921797627,3.149540452,0,3.473482657,-0.255376959,3.16397234,3.883283794,2.723243007,3.314550878,3.65069,3.373243693,3.280976659,2.993685383,3.124916739,3.293679781,2.505558992,4.026936331,3.060695935,-0.730783521,0.271400159
11,Abetment of Suicide (Online),-0.429611131,-0.421980232,-0.400195067,-0.425697477,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434776902,-0.355417098,-0.433984064,-0.439801259,-0.441807683,-0.443258639,-0.438855909,-0.434061628,-0.357949896,-0.416273234,1.802298956,-0.955145757
12,Cyber Stalking/Bullying of Women/Children,-0.333993559,-0.329400103,-0.400195067,-0.331766876,0,-0.241408042,-0.255376959,-0.368988731,-0.276880166,-0.389208108,-0.398074145,-0.02157484,-0.386336079,-0.21594958,-0.124326334,-0.161929949,-0.300579007,0.084694952,-0.357949896,-0.342620129,0.943218686,-0.405490326
13,Data theft,-0.383858637,-0.388632123,-0.400195067,-0.387190886,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.32973452,-0.358548099,-0.355417098,-0.362512086,-0.435263725,-0.421521335,-0.429222718,-0.389706466,-0.434061628,-0.357949896,-0.382611856,-1.686209242,-0.095036795
14,Fraud,0.344582763,0.327449289,2.023458206,0.335515548,0,-0.273994803,-0.255376959,-0.368988731,0.106431645,0.968772156,0.423502952,-0.132855593,0.430980579,0.116802917,0.315887422,0.237178431,0.353179134,0.603451532,-0.357949896,0.324679014,-0.879316091,0.271400159
