S. No. (Col.1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year (Col. 3),Cases Reported during the Year (Col. 4),Cases Reopened for Investigation (Col. 5),Total Cases for Investigation (Col.3+Col.4+Col.5) - (Col. 6),Cases Not Investigated Under 157_1_b CRPC - (Col. 7),Cases Transferred to Other State or Agency - (Col. 8),Cases Withdrawn by the Govt during Investigation - (Col. 9),Final Report - Cases Ended as FR Non Cognizable - (Col. 10),Final Report - Cases Ended as Final Report False - (Col. 11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - (Col. 12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - (Col. 13),Final Report - Cases Abated during Investigation - (Col. 14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - (Col. 15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year - (Col. 16),Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year - (Col. 17),Charge Sheets Submitted - Cases Chargesheeted (Col.16+Col.17) - (Col. 18),Total Cases Disposed Off by Police (Col.7+8+15+18) - (Col. 19),Cases Quashed at  Investigation Stage - (Col. 20),Cases Stayed at Investigation Stage - (Col. 21),Cases Pending Invsgn.at end of the year (Cols. 6-9-19-20) - (Col. 22),Chargesheeting Rate (Col.18/ 19*100) - (Col. 23),Pendency Percentage (Col.22/6*100) - (Col. 24)
4.5,Other Sections 67 IT Act,-0.337458561,-0.32723221,-0.301916556,-0.335418544,-0.346614112,-0.26316586,-0.339441429,-0.418163556,-0.168403265,-0.274873937,-0.359274069,-0.36348753,-0.346696852,-0.393142749,-0.284556514,-0.323850857,-0.337420161,-0.412143347,-0.414741098,-0.333515527,-0.395103964,0.031098305
5,Interception or Monitoring or decryption of Information,-0.416324711,-0.440564789,-0.301916556,-0.430375464,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.441269548,-0.36348753,-0.442227992,-0.444197789,-0.426350486,-0.436191408,-0.441278111,-0.412143347,-0.414741098,-0.424706683,1.860849115,0.321744586
6,Un-authorized access/attempt to  access to protected computer system,-0.416725047,-0.441124179,-0.301916556,-0.430849985,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.441269548,-0.36348753,-0.442227992,-0.444197789,-0.428108262,-0.437369805,-0.441838495,-0.412143347,-0.414741098,-0.425146158,-0.077495663,2.588785582
7,Abetment to Commit Offences,-0.416624963,-0.441236057,-0.301916556,-0.430849985,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.441269548,-0.36348753,-0.442227992,-0.444197789,-0.427522337,-0.436977006,-0.441651701,-0.412143347,-0.414741098,-0.425219404,1.860849115,-1.563304154
8,Attempt to Commit Offences,-0.415924376,-0.439334129,-0.301916556,-0.429584596,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.440859571,-0.36348753,-0.441871532,-0.441877105,-0.422249007,-0.432656216,-0.439410162,-0.412143347,-0.414741098,-0.424340453,1.501204421,-1.563304154
9,Other Sections of IT Act,-0.292120533,-0.327567844,-0.297276056,-0.31163977,-0.346614112,-0.382014958,-0.339441429,-0.295100408,-0.30250554,-0.154097378,-0.34328495,0.505336322,-0.319962391,-0.281749936,-0.322641672,-0.311674084,-0.317993494,-0.08107738,-0.414741098,-0.308172443,-0.553908114,0.155660997
Total Offences under I.T. Act,Total Offences under I.T. Act,3.059490703,2.875056441,3.39192075,3.00520915,2.936025421,3.837128022,3.818716075,1.858504695,3.05899149,2.793745302,2.919725143,3.309267845,2.923818848,2.730497401,3.355798636,3.174025385,3.061312571,2.898516323,2.711768716,2.973244248,-0.521213142,0.197181894
10,Abetment of Suicide (Online),-0.416424795,-0.440229154,-0.301916556,-0.430270015,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.441269548,-0.36348753,-0.442227992,-0.444197789,-0.424592709,-0.435013011,-0.440717726,-0.412143347,-0.414741098,-0.424779929,1.860849115,-1.247745334
11,Cyber Stalking/Bullying of Women/Children,-0.342462758,-0.343790178,-0.301916556,-0.345858005,-0.346614112,-0.322590409,-0.339441429,-0.418163556,-0.329325995,-0.39117729,-0.405191537,-0.284503543,-0.401591611,-0.250420707,-0.269322451,-0.265323787,-0.33854093,-0.412143347,-0.414741098,-0.347578741,0.889341371,-0.259547977
12,Data theft,-0.382996757,-0.430383876,-0.301916556,-0.408020253,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.436607816,-0.440382555,-0.419130769,-0.36348753,-0.422622721,-0.327003266,-0.407014944,-0.383556325,-0.40597388,-0.412143347,-0.414741098,-0.407493894,0.525025967,-1.073357565
13,Fraud,0.322995409,0.721625565,-0.301916556,0.50680347,-0.203890654,-0.322590409,-0.339441429,0.320215336,0.528928566,0.812115094,0.567274846,-0.323995537,0.577959031,0.313505412,0.178324633,0.225675124,0.408638566,-0.412143347,-0.414741098,0.543970454,-1.077027669,0.462915637
