S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the year (Col.5),Cases Reopened for Investigation (Col.6),Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6),Cases Not Investigated under 157_1_b CRPC (Col.8),Cases Transferred to other State or Agency (Col.9),Cases Withdrawn by the Govt during Investigation (Col.10),Final Report - Cases Ended as FR Non Cognizable (Col.11),Final Report - Cases Ended as Final Report False (Col.12),Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14),Final Report - Cases Abated during Investigation (Col.15),Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18),Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18),Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19),Cases Quashed at Investigation Stage (Col.21),Cases Stayed at Investigation Stage (Col.22),Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21),Chargesheeting Rate (Col.24=Col.19/ Col.20) *100,Pendency Percentage (Col.25=Col.23/ Col.7) *100
19.2,Offences under IPC,Stamps,-0.438448873,-0.430884126,-0.139967124,-0.435980038,0,-0.384774069,0,-0.409644015,-0.41911913,-0.439507296,-0.437427064,-0.346112308,-0.437589022,-0.441323431,-0.446879267,-0.446473038,-0.442514896,-0.437334512,-0.364814112,-0.429968841,-0.229244353,2.094607828
20,Offences under IPC,Cyber Blackmailing/Threatening,-0.38199881,-0.386585582,-0.403751319,-0.386216704,0,-0.384774069,0,-0.409644015,-0.366223219,-0.433990939,-0.417855009,-0.346112308,-0.418129835,-0.383186537,-0.35362511,-0.366178257,-0.39828826,-0.151609298,0.082083175,-0.377716186,1.221808207,0.261086655
21,Offences under IPC,Fake News on Social Media,-0.411972294,-0.411615253,-0.139967124,-0.413431027,0,-0.384774069,0,-0.409644015,-0.41911913,-0.417441869,-0.433638924,-0.266490227,-0.431643159,-0.435094478,-0.407813336,-0.419708111,-0.428093167,-0.437334512,-0.364814112,-0.403250655,1.308059583,0.787484669
22,Offences under IPC,Other Offences,-0.18941917,-0.090599788,-0.139967124,-0.134956296,0,-0.100543978,0,1.228932046,-0.048847754,-0.103009523,-0.261909922,-0.107246067,-0.235429689,-0.005296729,0.281511306,0.173843501,-0.069152354,0.991291561,0.528980462,-0.169551081,0.902170755,-0.460492645
23,Offences under IPC,Total Offences under IPC,1.974916208,1.286826717,3.816795805,1.59942921,0,0.562659568,0,2.457864091,0.440439421,1.761519126,1.366990177,0.051998093,1.364547919,1.491728282,1.865571772,1.730932479,1.515635428,2.419917635,3.657261471,1.633757357,-0.229244353,0.119136629
24,Offences under SLL,Gambling Act (Online Gambling),-0.433453292,-0.426911163,-0.139967124,-0.431536884,0,-0.384774069,0,-0.409644015,-0.41911913,-0.439507296,-0.437427064,-0.346112308,-0.437589022,-0.437170796,-0.425456014,-0.431516167,-0.436425721,-0.437334512,-0.364814112,-0.42641769,2.546020509,-0.643844762
25,Offences under SLL,Lotteries Act (Online Lotteries),-0.435701303,-0.43048683,-0.139967124,-0.434536013,0,-0.384774069,0,-0.409644015,-0.41911913,-0.439507296,-0.437427064,-0.346112308,-0.437589022,-0.441323431,-0.446879267,-0.446473038,-0.442514896,-0.437334512,-0.364814112,-0.427770509,-0.229244353,2.094607828
26,Offences under SLL,Copy Right Act,-0.412721631,-0.418567939,-0.403751319,-0.417763103,0,-0.384774069,0,-0.409644015,-0.366223219,-0.439507296,-0.429850785,-0.346112308,-0.428940494,-0.435094478,-0.417894867,-0.426005741,-0.429054615,-0.437334512,-0.364814112,-0.409338343,0.612974965,0.586388799
27,Offences under SLL,Trade Marks Act,-0.435451524,-0.430884126,-0.139967124,-0.434647092,0,-0.384774069,0,-0.409644015,-0.41911913,-0.439507296,-0.437427064,-0.346112308,-0.437589022,-0.441323431,-0.446879267,-0.446473038,-0.442514896,-0.437334512,-0.364814112,-0.427939612,-0.229244353,2.094607828
28,Offences under SLL,Other SLL Crimes,-0.430455943,-0.426513866,-0.403751319,-0.430092858,0,-0.384774069,0,-0.409644015,-0.41911913,-0.428474582,-0.434270281,-0.346112308,-0.433805291,-0.441323431,-0.435537545,-0.439388204,-0.43738717,-0.437334512,-0.364814112,-0.423712051,0.328852785,0.343890837
29,Offences under SLL,Total Offences under SLL,-0.393988203,-0.409827419,0.387601266,-0.404211481,0,-0.384774069,0,-0.409644015,-0.366223219,-0.428474582,-0.426694001,-0.346112308,-0.425156764,-0.430941843,-0.385129893,-0.403964036,-0.417837715,-0.437334512,-0.364814112,-0.394626431,1.029011014,0.509499201
Total,Total Cyber Crimes,Total Cyber Crimes,5.209055213,4.981881581,5.399500976,5.104523014,0,4.541880839,0,5.325372197,4.830800018,5.209242218,4.994765357,3.873857941,5.017469768,5.071299876,5.323536705,5.248158743,5.126836386,5.277169782,4.997953333,5.062647566,-0.416967937,0.030417863
